[1/325] {'graphs': 1, 'dags': 8226292, 'profile_dags': 6721216, 'ss_skip': 5601076, 'packed_cegar': 1120140, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=248s
[13/325] {'graphs': 13, 'dags': 88150744, 'profile_dags': 74871976, 'ss_skip': 49397624, 'packed_cegar': 25474352, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=6123s
[14/325] {'graphs': 14, 'dags': 95388892, 'profile_dags': 80946352, 'ss_skip': 53836834, 'packed_cegar': 27109518, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=6509s
[15/325] {'graphs': 15, 'dags': 102381216, 'profile_dags': 86872992, 'ss_skip': 57739608, 'packed_cegar': 29133384, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=6980s
[16/325] {'graphs': 16, 'dags': 109000996, 'profile_dags': 92535088, 'ss_skip': 61315668, 'packed_cegar': 31219420, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=7505s
[17/325] {'graphs': 17, 'dags': 116121424, 'profile_dags': 98532016, 'ss_skip': 65605106, 'packed_cegar': 32926910, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=7897s
[18/325] {'graphs': 18, 'dags': 123638636, 'profile_dags': 104798864, 'ss_skip': 70322824, 'packed_cegar': 34476040, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=8250s
[19/325] {'graphs': 19, 'dags': 131888096, 'profile_dags': 111533012, 'ss_skip': 75954248, 'packed_cegar': 35578764, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=8489s
[20/325] {'graphs': 20, 'dags': 139948020, 'profile_dags': 118151088, 'ss_skip': 81320118, 'packed_cegar': 36830970, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=8770s
[21/325] {'graphs': 21, 'dags': 146695436, 'profile_dags': 123913184, 'ss_skip': 84905544, 'packed_cegar': 39007640, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=9228s
[22/325] {'graphs': 22, 'dags': 152901640, 'profile_dags': 129319876, 'ss_skip': 87623688, 'packed_cegar': 41696188, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=9936s
[23/325] {'graphs': 23, 'dags': 158963492, 'profile_dags': 134546864, 'ss_skip': 90842308, 'packed_cegar': 43704556, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=10469s
[24/325] {'graphs': 24, 'dags': 165817124, 'profile_dags': 140374424, 'ss_skip': 94605972, 'packed_cegar': 45768452, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=10968s
[25/325] {'graphs': 25, 'dags': 172216216, 'profile_dags': 145838104, 'ss_skip': 98208138, 'packed_cegar': 47629966, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=11476s
[26/325] {'graphs': 26, 'dags': 179005236, 'profile_dags': 151623924, 'ss_skip': 101886064, 'packed_cegar': 49737860, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=11972s
[27/325] {'graphs': 27, 'dags': 185642536, 'profile_dags': 157260172, 'ss_skip': 105693760, 'packed_cegar': 51566412, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=12460s
[28/325] {'graphs': 28, 'dags': 192274920, 'profile_dags': 162896616, 'ss_skip': 109464000, 'packed_cegar': 53432616, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=12961s
[29/325] {'graphs': 29, 'dags': 198211768, 'profile_dags': 168032560, 'ss_skip': 112524028, 'packed_cegar': 55508532, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=13512s
[30/325] {'graphs': 30, 'dags': 203805908, 'profile_dags': 172922888, 'ss_skip': 115242898, 'packed_cegar': 57679990, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=14158s
[31/325] {'graphs': 31, 'dags': 209748080, 'profile_dags': 178062428, 'ss_skip': 118338196, 'packed_cegar': 59724232, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=14746s
[32/325] {'graphs': 32, 'dags': 215804256, 'profile_dags': 183277044, 'ss_skip': 121607772, 'packed_cegar': 61669272, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=15238s
[33/325] {'graphs': 33, 'dags': 222946664, 'profile_dags': 189288740, 'ss_skip': 125920744, 'packed_cegar': 63367996, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=15654s
[34/325] {'graphs': 34, 'dags': 228780020, 'profile_dags': 194333360, 'ss_skip': 129000252, 'packed_cegar': 65333108, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=16221s
[35/325] {'graphs': 35, 'dags': 235032372, 'profile_dags': 199672248, 'ss_skip': 132601008, 'packed_cegar': 67071240, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=16696s
[36/325] {'graphs': 36, 'dags': 242989412, 'profile_dags': 206227184, 'ss_skip': 137820332, 'packed_cegar': 68406852, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=17027s
[37/325] {'graphs': 37, 'dags': 251100204, 'profile_dags': 212872776, 'ss_skip': 143301308, 'packed_cegar': 69571468, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=17322s
[38/325] {'graphs': 38, 'dags': 258842904, 'profile_dags': 219279276, 'ss_skip': 148323336, 'packed_cegar': 70955940, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=17654s
[39/325] {'graphs': 39, 'dags': 266189152, 'profile_dags': 225418924, 'ss_skip': 152917492, 'packed_cegar': 72501432, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=18001s
[40/325] {'graphs': 40, 'dags': 273122192, 'profile_dags': 231285236, 'ss_skip': 156958512, 'packed_cegar': 74326724, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=18439s
[41/325] {'graphs': 41, 'dags': 281208636, 'profile_dags': 237917088, 'ss_skip': 162405052, 'packed_cegar': 75512036, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=18728s
[42/325] {'graphs': 42, 'dags': 289356604, 'profile_dags': 244588720, 'ss_skip': 167918320, 'packed_cegar': 76670400, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=18995s
[43/325] {'graphs': 43, 'dags': 296266036, 'profile_dags': 250442584, 'ss_skip': 171907190, 'packed_cegar': 78535394, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=19439s
[44/325] {'graphs': 44, 'dags': 303473188, 'profile_dags': 256494664, 'ss_skip': 176308230, 'packed_cegar': 80186434, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=19792s
[45/325] {'graphs': 45, 'dags': 310359172, 'profile_dags': 262334644, 'ss_skip': 180273992, 'packed_cegar': 82060652, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=20201s
[46/325] {'graphs': 46, 'dags': 316827304, 'profile_dags': 267892204, 'ss_skip': 183648444, 'packed_cegar': 84243760, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=20757s
[47/325] {'graphs': 47, 'dags': 323786724, 'profile_dags': 273766608, 'ss_skip': 187810410, 'packed_cegar': 85956198, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=21178s
[48/325] {'graphs': 48, 'dags': 330524488, 'profile_dags': 279506584, 'ss_skip': 191516670, 'packed_cegar': 87989914, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=21697s
[49/325] {'graphs': 49, 'dags': 337070696, 'profile_dags': 285108668, 'ss_skip': 195049858, 'packed_cegar': 90058810, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=22248s
[50/325] {'graphs': 50, 'dags': 343189208, 'profile_dags': 290366024, 'ss_skip': 198389764, 'packed_cegar': 91976260, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=22753s
[51/325] {'graphs': 51, 'dags': 349122960, 'profile_dags': 295507248, 'ss_skip': 201392188, 'packed_cegar': 94115060, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=23266s
[52/325] {'graphs': 52, 'dags': 355524600, 'profile_dags': 300960924, 'ss_skip': 205081294, 'packed_cegar': 95879630, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=23659s
[53/325] {'graphs': 53, 'dags': 361461732, 'profile_dags': 306101052, 'ss_skip': 208110332, 'packed_cegar': 97990720, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=24163s
[54/325] {'graphs': 54, 'dags': 367850528, 'profile_dags': 311564864, 'ss_skip': 211629580, 'packed_cegar': 99935284, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=24613s
[55/325] {'graphs': 55, 'dags': 373301804, 'profile_dags': 316309184, 'ss_skip': 214461782, 'packed_cegar': 101847402, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=25175s
[56/325] {'graphs': 56, 'dags': 379563756, 'profile_dags': 321696840, 'ss_skip': 217706722, 'packed_cegar': 103990118, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=25692s
[57/325] {'graphs': 57, 'dags': 385828200, 'profile_dags': 327083352, 'ss_skip': 220984924, 'packed_cegar': 106098428, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=26165s
[58/325] {'graphs': 58, 'dags': 391171284, 'profile_dags': 331764828, 'ss_skip': 223552390, 'packed_cegar': 108212438, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=26747s
[59/325] {'graphs': 59, 'dags': 397253652, 'profile_dags': 336986448, 'ss_skip': 226938778, 'packed_cegar': 110047670, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=27180s
[60/325] {'graphs': 60, 'dags': 403320888, 'profile_dags': 342204120, 'ss_skip': 230254622, 'packed_cegar': 111949498, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=27633s
[61/325] {'graphs': 61, 'dags': 409000460, 'profile_dags': 347156192, 'ss_skip': 233059264, 'packed_cegar': 114096928, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=28167s
[62/325] {'graphs': 62, 'dags': 415393752, 'profile_dags': 352608876, 'ss_skip': 236716148, 'packed_cegar': 115892728, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=28559s
[63/325] {'graphs': 63, 'dags': 421466672, 'profile_dags': 357826532, 'ss_skip': 240051732, 'packed_cegar': 117774800, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=28991s
[64/325] {'graphs': 64, 'dags': 427605112, 'profile_dags': 363095548, 'ss_skip': 243468924, 'packed_cegar': 119626624, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=29427s
[65/325] {'graphs': 65, 'dags': 433538488, 'profile_dags': 368249680, 'ss_skip': 246381738, 'packed_cegar': 121867942, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=29959s
[66/325] {'graphs': 66, 'dags': 439168996, 'profile_dags': 373177936, 'ss_skip': 249028806, 'packed_cegar': 124149130, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=30495s
[67/325] {'graphs': 67, 'dags': 444783740, 'profile_dags': 378068912, 'ss_skip': 251782822, 'packed_cegar': 126286090, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=31027s
[68/325] {'graphs': 68, 'dags': 449848336, 'profile_dags': 382556524, 'ss_skip': 253953436, 'packed_cegar': 128603088, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=31618s
[69/325] {'graphs': 69, 'dags': 455167512, 'profile_dags': 387248220, 'ss_skip': 256239378, 'packed_cegar': 131008842, 'dicut_skip': 0, 'packed_exact': 0, 'cand': 0} t=32205s
